
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001807                       # Number of seconds simulated (Second)
simTicks                                   1807062000                       # Number of ticks simulated (Tick)
finalTick                                  1807062000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.18                       # Real time elapsed on the host (Second)
hostTickRate                                127430736                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     692256                       # Number of bytes of host memory used (Byte)
simInsts                                      2574837                       # Number of instructions simulated (Count)
simOps                                        4298277                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   181572                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     303104                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1807063                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6115943                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       68                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5870304                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16862                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1817728                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1719971                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  67                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1796576                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.267496                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.808148                       # Number of insts issued each cycle (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     5978086                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                        88146                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                           5695973                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                        488691                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    174331                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                             833039                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         683465                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       344348                       # Number of stores executed (Count)
system.cpu.numRate                           3.152061                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             268                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           10487                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     2574837                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       4298277                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.701816                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.701816                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.424874                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.424874                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    7583727                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   3967949                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                       44828                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                      43735                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     3274483                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    2416052                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   2260125                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                        1                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads         514107                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        378851                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads         2360                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        32015                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                  933183                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted            793068                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             59118                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups               321716                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                32616                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                  320932                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.997563                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    9497                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             300                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 11                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              289                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted           84                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         1817577                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls               1                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             58921                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      1544142                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.783602                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.962164                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          506020     32.77%     32.77% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          232669     15.07%     47.84% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          161860     10.48%     58.32% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          143847      9.32%     67.64% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          116691      7.56%     75.19% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           35092      2.27%     77.47% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           29312      1.90%     79.36% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           56957      3.69%     83.05% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          261694     16.95%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      1544142                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              2574837                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                4298277                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                      663827                       # Number of memory references committed (Count)
system.cpu.commit.loads                        379876                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     522063                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                      83881                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     4291260                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  8318                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass         5501      0.13%      0.13% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      3627963     84.41%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult            4      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           14      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd           10      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     84.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          374      0.01%     84.54% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     84.54% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu           76      0.00%     84.54% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     84.54% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt          110      0.00%     84.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          212      0.00%     84.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     84.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     84.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift          186      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     84.56% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     84.56% # Class of committed instruction (Count)
